AntiRH5.mg.mL,AntiRh4.mg.mL,GIA1,GIA2,AntiRH5.EC50,AntiRh4.EC50
5,0,92.63504928,101.8515133,8,0
2.5,0,83.87375206,90.43189259,4,0
1.25,0,62.9058233,72.41402891,2,0
0.625,0,50.96900375,51.18983176,1,0
0.3125,0,37.29044316,36.37196693,0.5,0
0.15625,0,26.81823792,31.91310319,0.25,0
0.15625,5,72.8752751,77.99595959,0.25,0.5
0.15625,2.5,66.70523499,74.0034769,0.25,0.25
0.15625,1.25,61.8080047,60.06449842,0.25,0.125
0.15625,0.625,53.11197625,55.46159723,0.25,0.0625
0.15625,0.3125,52.69040984,51.31661884,0.25,0.03125
0.15625,0.15625,44.8817538,40.35755159,0.25,0.015625
0.3125,5,81.95010503,61.74790573,0.5,0.5
0.3125,2.5,75.25859076,79.56622961,0.5,0.25
0.3125,1.25,69.10956446,72.44874692,0.5,0.125
0.3125,0.625,59.89611715,68.24814391,0.5,0.0625
0.3125,0.3125,55.6409139,57.52798659,0.5,0.03125
0.3125,0.15625,45.33318194,62.41191558,0.5,0.015625
0.625,5,90.39387875,94.37478294,1,0.5
0.625,2.5,86.08089827,86.68202179,1,0.25
0.625,1.25,79.73679388,82.9328714,1,0.125
0.625,0.625,72.79639871,74.68769509,1,0.0625
0.625,0.3125,68.26155728,74.52725464,1,0.03125
0.625,0.15625,62.67722965,66.88712137,1,0.015625
1.25,5,89.88555643,91.70375831,2,0.5
1.25,2.5,89.91681906,89.83798994,2,0.25
1.25,1.25,85.22097281,88.38259118,2,0.125
1.25,0.625,83.20220959,86.27605559,2,0.0625
1.25,0.3125,80.99559989,83.56753094,2,0.03125
1.25,0.15625,79.08672956,78.9379822,2,0.015625
2.5,5,93.05287186,97.17208606,4,0.5
2.5,2.5,91.52461171,94.58259558,4,0.25
2.5,1.25,92.79374838,92.58713962,4,0.125
2.5,0.625,91.13524981,91.70532081,4,0.0625
2.5,0.3125,91.73072856,90.20574588,4,0.03125
2.5,0.15625,89.13173445,92.82719661,4,0.015625
5,5,92.98532339,101.2684388,8,0.5
5,2.5,94.55828842,100.2998154,8,0.25
5,1.25,95.04489444,102.3333775,8,0.125
5,0.625,94.96433972,102.6612669,8,0.0625
5,0.3125,93.71327874,100.5794032,8,0.03125
5,0.15625,93.20643219,99.49877194,8,0.015625
0,5,27.93368921,33.75820983,0,0.5
0,2.5,23.15762807,24.26187096,0,0.25
0,1.25,17.56018664,19.14132572,0,0.125
0,0.625,14.69966101,19.28543869,0,0.0625
0,0.3125,9.191755679,12.97599749,0,0.03125
0,0.15625,5.930030547,6.6465446,0,0.015625
